path,source_url,license,credit_required (y/n),town
scripts/templates/placeholder-hero.jpg,generated in-repo,CC0 placeholder — never ship on a live site,n,all
content/hub/images/hero.jpg,generated (scripts/templates/placeholder-hero.jpg),CC0 placeholder — replace before launch,n,hub
content/niwot/images/hero.jpg,https://github.com/jlerner1965/townofniwot.com (src/assets/photos/valley-haystack-foothills.jpg),client-supplied; licensed for townofniwot.com — confirm the licence extends to insideniwot.com,n,niwot
content/niwot/images/niwot-tavern-patios.jpg,https://github.com/jlerner1965/townofniwot.com (src/assets/photos/niwot-tavern-patios.jpg),client-supplied; licensed for townofniwot.com — confirm the licence extends to insideniwot.com,n,niwot
content/niwot/images/second-avenue-patios.jpg,https://github.com/jlerner1965/townofniwot.com (src/assets/photos/second-avenue-patios.jpg),client-supplied; licensed for townofniwot.com — confirm the licence extends to insideniwot.com,n,niwot
content/niwot/images/whistle-stop-caboose.jpg,https://github.com/jlerner1965/townofniwot.com (src/assets/photos/whistle-stop-caboose.jpg),client-supplied; licensed for townofniwot.com — confirm the licence extends to insideniwot.com,n,niwot
content/niwot/images/niwot-gateway-sculpture.jpg,https://github.com/jlerner1965/townofniwot.com (src/assets/photos/niwot-gateway-sculpture.jpg),client-supplied; licensed for townofniwot.com — confirm the licence extends to insideniwot.com,n,niwot
content/niwot/images/niwot-tribune-storefront.jpg,https://github.com/jlerner1965/townofniwot.com (src/assets/photos/niwot-tribune-storefront.jpg),client-supplied; licensed for townofniwot.com — confirm the licence extends to insideniwot.com,n,niwot
content/niwot/images/front-range-sunset-trail.jpg,https://github.com/jlerner1965/townofniwot.com (src/assets/photos/front-range-sunset-trail.jpg),client-supplied; licensed for townofniwot.com — confirm the licence extends to insideniwot.com,n,niwot
content/lyons/images/hero.jpg,https://commons.wikimedia.org/wiki/File:CO_SH_7_St_Vrain.jpg,CC BY-SA 3.0 (Footwarrior, 2012); resized to 2000px,y,lyons
content/lyons/images/downtown.jpg,https://commons.wikimedia.org/wiki/File:Downtown_Lyons,_CO_IMG_5242.JPG,CC BY-SA 3.0 (Billy Hathorn, 2010),y,lyons
content/lyons/images/redstone-museum.jpg,https://commons.wikimedia.org/wiki/File:Lyons,_CO,_Redstone_Museum_IMG_5247.JPG,CC BY-SA 3.0 (Billy Hathorn, 2010),y,lyons
content/lyons/images/church.jpg,https://commons.wikimedia.org/wiki/File:Lyons,_CO,_Community_Church_IMG_5241.JPG,CC BY-SA 3.0 (Billy Hathorn, 2010),y,lyons
content/lyons/images/outlaw-saloon.jpg,https://commons.wikimedia.org/wiki/File:The_Outlaw_Saloon,_Lyons,_CO_IMG_5238.JPG,CC BY-SA 3.0 (Billy Hathorn, 2010),y,lyons
content/lyons/images/depot.jpg,https://commons.wikimedia.org/wiki/File:Lyons_Depot_Library.jpg,Public domain (Nyttend, 2009),n,lyons
content/lyons/images/intersection.jpg,https://commons.wikimedia.org/wiki/File:Lyons_Intersection.jpg,Public domain (Nyttend, 2006),n,lyons
content/lyons/images/old-stone-church.jpg,https://commons.wikimedia.org/wiki/File:First_Congregational_Church_of_Lyons.jpg,Public domain (Nyttend),n,lyons
content/lyons/images/highway-7-canyon.jpg,https://commons.wikimedia.org/wiki/File:CO_SH_7_St_Vrain.jpg,CC BY-SA 3.0 (Footwarrior, 2012),y,lyons
content/lyons/images/lyons-elementary.jpg,https://commons.wikimedia.org/wiki/File:Lyons,_CO,_Elementary_School_IMG_5244.JPG,CC BY-SA 3.0 (Billy Hathorn, 2010),y,lyons
content/lyons/images/rogers-hall.jpg,https://commons.wikimedia.org/wiki/File:Rogers_Hall,_Lyons.jpg,Public domain (Nyttend),n,lyons
content/lyons/images/apple-valley-bridge.jpg,https://www.flickr.com/photos/37387065@N05/7769190806,CC BY-SA 2.0 (Dave Dugdale),y,lyons
content/lyons/images/redrock-sky.jpg,https://www.flickr.com/photos/35557234@N07/6314970941,CC BY 2.0 (Zach Dischner),y,lyons
content/lyons/images/flood-2013-guard.jpg,https://www.flickr.com/photos/28650594@N03/9777948044,CC BY 2.0 (DVIDSHUB),y,lyons
